respondentId,v38,v39,v63,v102,v103,v104,v105,v106,v107,v143,v144,v185,v186,v187,v188,v199,v200,v201,v202,v203,v149,v159,v150,v152,v153,v160,v154,v155,v156,v157,v158,v163
3214,0.56,0.67,0.11,0.67,0.78,0.78,1.0,0.78,0.89,0.78,0.78,0.22,0.33,0.33,0.33,0.5,0.5,0.25,0.75,0.25,0.11,1.0,0.67,0.11,0.78,0.44,0.78,0.33,0.78,0.11,0.22,0.56
3215,0.89,0.89,1.0,0.44,0.67,0.89,0.56,0.44,0.44,1.0,1.0,1.0,1.0,1.0,0.11,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.56,0.0,0.56,0.67,0.78,0.11,0.56,0.0
3216,0.67,0.67,0.89,0.78,0.89,0.67,0.67,0.78,0.22,0.67,0.67,0.89,0.89,0.22,0.33,0.25,0.75,0.25,0.25,0.25,0.44,0.0,0.0,0.0,0.44,0.22,0.11,0.56,0.0,0.0,0.0,0.0
3217,0.78,0.67,0.11,0.22,0.78,0.89,0.78,0.78,0.44,0.22,0.33,0.67,1.0,1.0,0.33,0.0,0.75,0.5,0.25,0.5,0.0,0.11,0.0,0.11,0.67,0.56,0.56,0.67,0.67,0.11,0.67,0.11
3218,0.78,0.67,1.0,0.56,0.67,0.11,1.0,0.78,0.0,0.22,0.33,0.56,0.44,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.33,0.0,0.0,0.44,0.44,0.44,0.0,0.44,0.56
3219,0.67,0.78,0.0,0.44,0.33,0.33,0.67,0.44,0.11,0.56,0.33,0.33,0.78,0.78,0.67,0.0,0.75,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.78,0.0,0.56,0.56,0.89,0.89,0.0,0.0
3220,0.0,0.56,0.67,1.0,0.56,0.0,1.0,0.0,1.0,0.0,0.0,0.56,0.56,0.56,0.0,0.75,0.25,0.75,0.0,0.75,0.22,0.22,0.22,1.0,0.0,0.0,0.33,0.44,0.0,0.0,0.33,0.0
3221,0.89,0.33,0.33,0.44,1.0,1.0,1.0,0.89,0.11,0.0,0.0,0.0,0.78,1.0,0.56,0.5,0.75,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.67,0.78,0.44,0.11,0.89
3222,0.67,0.78,0.56,0.44,0.89,0.22,0.56,0.56,0.56,0.33,0.0,0.44,0.56,0.56,0.56,0.75,0.75,0.5,0.25,0.5,0.11,0.0,0.0,0.0,0.0,0.0,0.44,0.11,0.0,0.0,0.0,0.0
3223,0.78,0.78,0.0,0.56,0.78,0.67,0.78,0.56,0.56,0.78,0.67,0.11,0.11,0.0,0.56,0.75,0.5,0.25,0.25,0.25,0.22,0.22,0.0,0.22,1.0,0.0,0.89,0.89,0.67,0.44,0.78,0.0
3224,0.44,0.56,0.56,0.44,0.44,0.56,0.56,0.56,0.22,0.44,0.44,0.44,0.78,1.0,0.11,0.25,0.5,0.5,0.5,0.5,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.56,0.67,0.67,0.67,0.67
3225,0.44,0.67,0.44,0.56,0.56,0.56,0.44,0.56,0.56,0.56,0.67,0.44,0.33,0.33,0.22,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0
3226,1.0,1.0,0.56,0.11,0.56,1.0,0.78,0.22,0.56,0.0,0.0,0.78,1.0,1.0,0.0,0.25,0.5,0.25,0.75,0.75,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.44,0.44,0.0,0.0,0.0
3227,0.67,0.89,0.44,0.67,1.0,0.89,0.89,0.89,1.0,0.33,0.22,0.78,0.78,0.56,0.56,0.5,0.5,0.5,0.5,0.5,0.11,0.0,0.44,0.33,0.11,0.0,0.78,1.0,0.89,0.22,0.56,0.11
3228,0.56,0.56,0.56,0.44,0.78,0.89,0.56,0.33,0.22,0.22,0.11,0.33,0.89,0.89,0.56,0.5,0.25,0.75,1.0,0.75,0.22,0.22,0.0,0.0,0.0,0.22,0.33,0.33,0.67,0.0,0.11,1.0
3229,0.67,0.22,0.0,0.11,0.33,0.22,0.89,0.89,0.56,0.56,0.11,0.0,0.0,0.22,0.56,0.75,0.75,0.0,0.75,0.0,0.0,0.0,0.0,0.0,1.0,0.56,1.0,1.0,0.78,0.78,0.56,0.0
3230,0.67,0.33,0.0,0.22,0.56,0.56,0.89,1.0,0.22,0.22,0.22,0.22,0.11,0.56,0.33,0.25,0.25,0.75,0.25,0.5,0.33,0.11,0.44,0.0,0.0,0.0,0.0,0.33,0.22,0.11,0.11,0.22
3231,1.0,0.89,0.56,0.78,0.56,0.33,0.89,0.22,0.78,0.67,0.44,0.67,0.67,0.56,0.56,0.75,0.5,0.5,0.75,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.44,0.44,0.56,0.0,0.44,0.0
3232,0.56,0.44,0.56,0.22,0.22,0.56,0.56,0.0,0.22,0.56,0.44,0.44,0.67,0.56,0.56,1.0,0.25,0.75,0.75,0.5,0.56,0.22,0.56,0.67,0.56,0.22,0.22,0.67,0.22,0.22,0.22,0.22
3233,0.0,0.11,0.78,0.11,0.78,1.0,0.56,0.56,0.56,0.11,0.11,1.0,1.0,1.0,0.22,0.25,0.25,0.5,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3234,0.89,1.0,1.0,0.44,0.67,0.56,0.67,0.44,0.56,0.67,0.78,0.56,0.56,0.56,0.56,1.0,0.5,0.25,0.25,0.75,0.22,0.0,0.67,0.11,1.0,0.0,0.56,1.0,0.44,0.44,0.56,0.0
3235,0.78,0.89,0.0,0.56,0.67,0.89,0.44,0.33,0.11,1.0,0.67,0.33,1.0,1.0,0.11,0.0,0.75,0.75,0.25,0.5,0.0,0.22,0.0,0.0,1.0,0.11,0.56,0.56,0.0,0.0,0.0,0.22
3236,1.0,1.0,1.0,0.44,1.0,1.0,1.0,1.0,1.0,0.44,0.0,0.0,0.56,0.56,0.56,0.25,0.75,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.44,0.0,0.44,1.0,1.0,0.0,0.0,0.0
3237,0.67,0.89,0.11,0.78,1.0,0.33,0.78,0.33,0.78,0.89,0.78,0.67,1.0,0.89,0.0,0.75,0.25,0.5,1.0,0.5,0.0,0.22,0.56,0.0,0.78,0.67,0.78,1.0,0.78,0.33,0.11,0.22
3238,0.78,0.78,0.0,0.44,0.56,1.0,1.0,0.11,0.56,0.78,0.44,0.0,0.56,1.0,1.0,0.75,1.0,0.75,0.0,0.75,0.0,0.11,0.0,0.0,0.0,0.44,0.44,0.0,1.0,0.0,0.44,1.0
3239,0.56,1.0,1.0,0.33,0.56,0.33,0.44,0.22,0.33,0.56,0.0,1.0,1.0,1.0,0.0,1.0,0.5,0.0,0.0,0.25,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,1.0
3240,0.89,0.67,0.0,0.33,1.0,0.44,0.89,0.78,0.67,0.89,0.44,0.0,0.11,0.33,0.78,0.0,0.5,0.25,0.25,0.5,0.0,0.44,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.67,0.33,0.78
3241,0.44,0.89,0.89,0.44,0.78,0.67,0.89,0.44,0.78,0.22,0.22,0.22,0.56,0.56,0.56,1.0,0.75,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.44,0.44,0.44,0.0,0.0,0.44
3242,0.78,0.78,0.11,0.33,0.78,0.56,0.44,0.33,0.78,0.89,0.78,0.22,0.89,0.78,0.22,0.5,0.25,0.5,0.5,0.25,0.0,0.11,0.11,0.0,1.0,0.78,0.67,0.89,0.78,0.44,0.22,0.0
3243,0.67,0.67,0.33,0.22,0.44,0.56,0.67,0.89,0.67,0.22,0.0,0.11,0.44,0.33,1.0,0.75,1.0,0.0,0.25,0.25,0.0,0.22,0.0,0.0,0.78,0.44,0.78,0.89,0.89,0.56,0.56,0.0
3244,0.78,0.67,1.0,0.89,0.22,0.33,0.56,1.0,0.22,0.89,0.67,1.0,1.0,1.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.0,0.0,0.0
3245,0.44,0.44,0.44,0.44,0.56,0.56,0.56,0.56,0.56,0.44,0.44,0.56,0.89,0.89,0.56,0.25,0.25,0.5,0.5,0.5,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44
3246,0.22,1.0,1.0,1.0,0.0,0.22,1.0,0.22,0.67,0.78,0.0,1.0,0.11,1.0,0.56,1.0,1.0,0.0,0.0,0.0,1.0,0.44,0.44,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3247,0.67,0.44,0.78,0.56,0.56,0.44,0.56,0.33,0.67,0.78,0.44,0.78,1.0,1.0,0.56,1.0,0.0,0.25,0.5,0.25,0.0,0.11,0.0,0.0,1.0,0.44,0.44,0.78,0.22,0.44,0.0,0.0
3248,0.56,0.44,1.0,0.33,0.56,0.89,0.78,0.89,0.89,0.67,0.44,0.67,0.67,0.78,0.56,0.5,0.25,0.5,1.0,0.5,0.11,0.0,0.33,0.11,0.0,0.0,0.0,0.44,0.0,0.0,0.44,0.0
3249,0.67,0.89,0.0,0.33,0.44,0.56,0.56,0.44,0.56,0.78,0.78,0.56,0.67,0.44,0.44,0.5,0.75,0.5,0.25,0.25,0.44,0.33,0.56,0.22,1.0,0.33,0.78,0.78,0.89,0.67,0.56,0.44
3250,0.67,0.78,0.22,0.78,0.78,0.33,0.89,0.33,0.89,0.89,0.78,0.11,0.89,0.78,0.78,0.25,0.75,0.5,0.75,0.5,0.11,0.22,0.11,0.0,0.89,0.11,0.89,0.78,0.67,0.22,0.11,0.33
3251,0.78,0.78,0.89,0.67,0.0,0.22,0.0,1.0,0.33,0.67,0.78,0.0,0.0,0.0,1.0,1.0,0.25,0.75,0.5,0.5,0.0,0.44,0.0,0.44,1.0,0.0,0.67,0.78,0.0,0.0,0.0,0.0
3252,0.56,0.78,0.22,0.44,0.33,0.33,0.78,0.67,0.78,0.56,0.33,0.78,0.78,0.67,0.67,0.5,0.75,0.25,0.5,0.25,0.11,0.11,0.0,0.0,0.44,0.0,0.11,0.22,0.44,0.22,0.22,0.11
3253,0.78,0.78,1.0,0.56,0.89,0.78,1.0,1.0,1.0,0.33,0.33,0.11,1.0,0.89,0.22,0.75,0.25,0.75,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,1.0,0.0,0.0,0.67
3254,0.67,1.0,0.0,0.44,0.56,0.33,0.78,0.33,1.0,0.56,0.44,0.0,0.11,0.0,0.67,0.5,0.75,0.5,0.25,0.25,0.0,1.0,0.0,0.0,1.0,0.0,0.67,1.0,0.56,0.44,0.78,0.33
3255,1.0,0.0,1.0,0.89,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.56,1.0,0.0,0.75,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3256,0.44,0.78,1.0,0.78,0.33,0.44,1.0,0.67,0.11,0.89,0.78,0.56,0.56,0.33,0.33,0.75,0.5,0.5,0.75,0.75,0.11,0.0,0.89,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0
3257,0.44,0.67,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.25,0.0,1.0,1.0,0.25,0.0,0.44,0.0,0.0,0.0,1.0,0.22,1.0,1.0,0.0,1.0,1.0
3258,0.67,0.67,0.0,0.78,0.89,0.78,0.67,0.22,0.67,0.78,0.89,0.44,0.67,0.67,0.33,0.75,0.75,0.25,0.75,0.25,0.33,0.44,0.78,0.33,0.89,0.78,0.89,0.78,0.44,0.89,1.0,0.11
3259,0.78,0.67,0.0,0.56,0.56,0.67,1.0,0.22,0.78,0.89,0.78,0.44,1.0,1.0,0.11,0.75,1.0,0.0,0.25,0.0,0.0,0.56,0.0,0.0,1.0,1.0,1.0,1.0,0.67,0.0,1.0,0.22
3260,0.56,0.67,0.78,0.67,0.22,0.67,0.33,0.67,0.56,0.78,0.78,0.78,0.67,0.78,0.33,0.75,0.75,0.5,0.25,0.25,0.0,0.11,0.0,0.0,0.0,0.0,0.33,0.44,0.11,0.0,0.0,0.0
3261,0.44,0.78,1.0,0.67,0.56,0.78,0.89,0.67,0.67,0.89,0.89,0.22,0.67,0.11,0.11,0.75,0.75,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.89,0.0,0.0,0.89,0.22,0.0,0.0,0.0
3262,0.67,0.89,0.56,0.44,0.89,0.89,0.56,0.56,0.56,0.56,0.22,0.44,0.89,1.0,1.0,0.5,0.75,0.25,0.75,0.25,0.0,0.0,0.0,0.0,1.0,0.22,0.44,0.44,1.0,0.67,1.0,0.0
3263,0.44,0.44,1.0,0.67,0.78,0.22,1.0,0.67,1.0,0.56,0.56,0.33,0.22,0.11,0.89,0.25,0.0,0.25,0.75,0.75,0.0,0.11,0.0,0.0,0.0,0.0,0.56,0.56,0.67,0.0,0.0,0.67
3264,0.22,0.33,0.78,0.44,0.44,0.67,0.56,1.0,0.22,0.67,0.56,1.0,1.0,1.0,0.89,0.5,0.5,0.5,0.25,0.5,0.11,0.44,0.11,0.33,0.11,0.44,0.56,0.78,0.56,0.44,0.44,0.44
3265,0.44,0.56,0.67,0.44,0.44,0.67,1.0,0.89,0.67,0.67,0.78,1.0,1.0,1.0,1.0,0.25,0.25,0.75,0.75,0.75,0.0,0.44,0.22,0.0,0.11,0.22,0.44,0.78,0.33,0.22,0.22,0.78
3266,0.89,1.0,0.78,0.67,0.67,0.78,0.78,0.44,0.67,1.0,1.0,0.0,0.67,0.44,0.44,0.75,0.75,0.0,0.0,0.0,0.0,0.11,0.0,0.0,1.0,0.11,1.0,1.0,0.0,0.0,0.67,0.0
3267,1.0,0.67,0.0,0.11,0.33,0.33,0.56,0.89,0.22,1.0,0.78,0.33,0.67,0.67,0.67,1.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.33,0.22,0.22,1.0,0.33,0.33,0.0
3268,1.0,1.0,0.0,0.44,0.0,0.56,0.56,0.56,0.56,0.44,0.44,0.56,0.56,0.56,0.56,1.0,0.25,0.0,0.0,0.5,0.0,1.0,0.0,0.0,1.0,0.44,1.0,1.0,1.0,0.0,0.44,0.44
3269,0.67,0.67,1.0,0.0,0.56,0.56,1.0,0.67,0.22,0.22,0.0,0.11,0.78,0.78,0.56,1.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.33,0.0,0.0,0.0,0.44
3270,0.56,0.44,1.0,0.11,0.44,0.56,0.56,0.33,0.22,0.33,0.0,0.44,1.0,0.56,0.67,0.75,0.0,0.25,1.0,0.75,0.11,0.67,0.22,0.0,0.0,0.0,0.11,0.22,0.33,0.0,0.0,0.0
3271,0.78,0.33,0.89,0.78,0.11,0.44,0.56,0.22,0.44,0.78,0.67,1.0,1.0,1.0,0.0,0.75,0.0,0.5,0.75,0.75,0.0,0.22,0.0,0.0,0.67,0.44,0.67,0.67,0.67,0.0,0.89,0.89
3272,0.67,0.78,1.0,0.56,0.22,0.0,0.67,0.0,0.0,0.56,0.22,0.0,0.78,0.89,0.22,0.5,0.75,0.75,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0
3273,0.67,0.78,0.0,0.44,0.67,0.33,0.89,0.56,0.67,0.56,0.22,0.33,0.67,0.22,0.11,0.75,0.75,0.25,0.25,0.0,0.44,0.22,0.11,0.0,1.0,0.33,0.33,0.56,0.78,0.11,0.33,0.11
3274,0.78,1.0,0.78,0.78,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.56,1.0,0.22,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.56,0.0,0.56,0.0,0.0,0.0,0.0
3275,0.89,0.89,0.0,0.89,0.11,0.11,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.75,0.75,0.25,0.0,0.5,0.44,1.0,0.0,0.0,1.0,0.56,1.0,1.0,1.0,1.0,0.44,0.56
3276,0.56,0.67,0.67,0.33,0.78,0.78,0.56,0.78,0.56,0.56,0.22,0.67,0.67,0.89,0.44,0.25,1.0,0.0,0.5,0.75,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.44,0.22,0.0,0.0,0.0
3277,0.78,0.67,0.0,0.56,0.44,0.44,0.78,0.33,0.33,0.89,0.56,0.22,0.78,0.67,0.56,0.75,0.25,0.5,0.75,0.25,0.22,0.56,0.22,0.56,1.0,0.56,1.0,1.0,0.67,0.33,0.56,0.22
3278,1.0,1.0,0.0,0.22,0.89,0.67,0.89,0.78,1.0,0.89,0.89,0.78,0.78,0.22,0.44,0.75,0.5,0.25,0.0,0.75,0.44,0.11,0.0,0.11,0.11,0.44,1.0,0.89,1.0,0.11,0.44,0.0
3279,0.89,0.89,0.0,0.89,1.0,0.78,0.89,0.11,0.78,0.78,0.56,0.89,0.67,0.78,0.44,1.0,0.75,0.75,0.75,0.25,0.0,0.11,0.0,0.0,1.0,1.0,0.56,1.0,0.56,0.0,1.0,0.78
3280,0.67,1.0,0.56,0.44,0.89,1.0,1.0,0.22,0.56,0.44,0.0,1.0,0.78,1.0,0.22,0.75,0.25,0.25,0.25,0.5,0.0,0.11,0.0,0.0,0.0,0.11,0.44,0.44,0.78,0.44,0.11,0.78
3281,0.56,0.56,0.33,0.11,0.89,0.11,1.0,0.0,1.0,0.89,0.67,0.44,0.89,0.67,0.56,0.25,0.0,0.25,0.0,0.75,0.56,0.67,0.67,0.67,0.44,0.33,0.78,0.44,0.89,0.67,0.33,0.67
3282,0.89,0.67,0.78,0.33,0.56,0.67,0.44,0.56,0.56,0.78,0.78,0.44,0.33,0.67,0.56,0.75,0.5,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3283,1.0,1.0,0.44,0.33,0.56,0.56,0.56,0.56,0.56,0.33,0.33,0.56,0.56,0.56,0.56,0.25,0.75,0.25,0.25,0.25,0.0,0.11,0.0,0.0,0.44,0.44,0.44,0.44,0.44,0.11,0.44,0.0
3284,0.89,0.89,0.78,0.89,0.78,0.67,0.67,0.89,0.33,0.67,0.67,0.89,1.0,0.78,0.11,0.5,0.25,0.5,0.25,0.75,0.33,0.22,0.44,0.0,0.11,0.22,0.56,0.67,0.22,0.22,0.11,0.22
3285,0.67,0.78,0.11,0.22,0.56,0.56,0.56,0.56,0.56,0.0,0.0,0.11,1.0,1.0,0.89,0.75,0.5,0.5,0.25,0.25,0.44,0.11,0.0,0.0,0.44,0.22,0.78,0.78,0.78,0.78,0.78,1.0
3286,0.67,0.56,0.22,0.33,0.33,0.56,0.44,0.67,0.33,0.44,0.78,1.0,0.78,0.78,0.67,0.25,0.75,0.75,0.75,0.25,0.33,0.44,0.22,0.0,0.0,0.22,0.56,0.56,0.89,0.0,0.11,0.89
3287,1.0,1.0,0.78,0.0,0.89,0.22,0.89,0.22,0.33,0.67,0.56,0.78,0.56,0.56,0.0,0.75,1.0,0.25,0.25,0.25,0.0,0.22,0.0,0.0,0.0,0.0,0.44,0.78,0.0,0.0,0.0,0.56
3288,0.67,1.0,1.0,1.0,0.0,1.0,1.0,0.44,1.0,1.0,0.89,0.89,0.89,1.0,0.0,0.75,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.44,0.67,0.0,0.33,0.56
3289,0.56,0.56,0.78,1.0,1.0,1.0,1.0,1.0,0.33,0.44,0.0,1.0,1.0,1.0,0.0,0.0,0.25,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.11,0.22,0.78,0.0,0.33,0.0,0.0
3290,0.67,0.56,0.0,0.44,0.44,0.33,0.56,0.44,0.67,0.78,0.44,0.33,0.33,0.56,0.67,0.75,0.25,0.25,0.25,0.25,0.0,0.11,0.0,0.0,0.67,0.11,0.56,0.78,0.44,0.33,0.56,0.33
3291,1.0,0.67,1.0,1.0,0.33,0.67,0.56,0.33,0.11,0.33,0.67,0.44,0.44,0.67,0.33,1.0,0.25,0.5,0.25,0.25,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
3292,0.89,0.67,1.0,0.44,0.78,0.22,0.78,0.67,0.67,0.89,0.78,0.11,0.22,0.22,0.56,0.75,0.75,0.25,0.5,0.5,0.0,0.0,0.0,0.0,0.78,0.11,0.78,1.0,1.0,0.22,0.33,0.0
3293,0.56,0.44,0.78,1.0,0.67,0.78,1.0,0.67,0.89,0.33,0.11,0.67,0.89,1.0,0.78,0.25,1.0,0.75,0.5,0.0,0.44,0.11,0.22,0.22,0.11,0.0,0.44,0.44,0.0,0.11,0.0,0.44
3294,1.0,1.0,1.0,0.44,0.56,0.56,0.33,0.67,0.33,0.56,0.78,1.0,1.0,1.0,0.0,0.5,0.75,0.5,0.5,0.25,0.0,0.22,0.0,0.22,0.0,0.22,0.0,0.0,0.0,0.22,0.0,0.22
3295,0.67,0.56,1.0,0.44,1.0,0.67,0.78,1.0,0.0,0.67,0.44,0.67,0.89,0.78,0.56,0.75,0.75,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.78,1.0,0.78,0.67,0.78,0.56,0.22
3296,0.78,0.78,0.67,0.22,0.56,0.22,0.0,0.89,0.44,0.56,0.56,0.22,0.22,0.22,0.44,0.5,0.75,0.0,0.5,0.25,0.22,0.11,0.0,0.11,1.0,0.56,0.56,0.56,0.78,0.11,0.89,0.44
3297,0.67,0.78,0.67,0.44,0.33,0.89,0.89,1.0,1.0,0.33,0.0,0.33,0.0,0.0,0.33,0.5,0.75,0.5,0.25,0.25,0.0,0.56,0.0,0.44,1.0,0.67,1.0,1.0,0.89,0.56,0.67,0.0
3298,0.22,0.89,0.0,0.67,0.56,0.78,0.78,0.44,0.78,0.22,0.0,0.11,1.0,1.0,0.44,0.5,0.75,0.5,0.5,0.75,0.0,0.0,0.0,0.0,0.44,1.0,0.67,1.0,1.0,0.78,0.56,0.78
3299,0.67,1.0,0.22,0.11,0.22,0.78,1.0,0.56,0.44,1.0,1.0,0.11,1.0,0.89,0.78,1.0,1.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.11,1.0,1.0,1.0,1.0,1.0,0.33
3300,0.89,1.0,0.0,0.44,0.67,0.56,0.67,1.0,0.44,0.56,0.44,0.0,1.0,0.89,0.22,0.5,1.0,0.75,0.25,0.75,0.0,0.0,0.44,0.0,1.0,0.44,1.0,1.0,1.0,1.0,0.44,1.0
3301,0.33,0.78,0.0,0.33,0.67,0.78,0.78,0.78,0.44,0.89,0.67,0.78,0.56,0.67,0.44,0.75,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.78,0.78,1.0,1.0,1.0,1.0,0.89,0.78
3302,0.78,0.89,0.11,0.78,0.67,0.56,1.0,0.44,0.78,0.89,0.67,0.33,0.56,0.67,0.56,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.22,0.78,0.78,0.67,0.78,0.56,0.0
3303,0.78,0.89,0.11,0.78,0.89,0.89,0.89,0.78,0.89,0.44,0.44,0.78,0.33,0.22,0.78,0.25,0.75,0.25,0.25,0.25,0.0,0.0,0.22,0.0,0.78,0.11,0.78,0.89,0.22,0.11,0.78,0.89
3304,0.44,0.89,1.0,0.44,0.0,0.0,0.0,0.56,0.0,0.67,0.78,0.0,0.0,0.0,0.0,0.75,0.25,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.56,0.0,0.0,0.0,0.0
3305,0.67,0.67,0.11,0.22,0.78,0.22,0.89,0.78,0.56,0.67,0.22,0.11,0.22,0.33,0.67,0.75,1.0,0.25,0.25,0.0,0.56,0.11,0.11,0.0,1.0,1.0,1.0,1.0,1.0,0.11,1.0,0.0
3306,0.56,0.78,0.22,0.44,0.33,0.11,0.0,0.89,0.0,0.33,0.44,1.0,1.0,0.89,0.78,0.75,0.5,0.25,0.25,0.5,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.22
3307,0.44,0.33,0.11,0.56,0.67,0.67,0.56,0.56,0.44,0.78,0.33,0.56,0.78,0.89,0.22,0.5,0.5,0.25,0.75,0.5,0.0,0.0,0.22,0.0,1.0,0.67,0.78,0.89,1.0,0.89,0.56,0.0
3308,0.33,0.67,0.89,0.11,0.22,0.33,0.33,0.78,0.22,0.78,0.78,0.0,0.22,0.22,0.78,1.0,1.0,0.0,0.0,0.0,0.11,0.22,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.22,0.0
3309,0.67,0.67,0.0,0.22,0.56,0.44,0.56,0.67,0.44,0.67,0.56,0.11,0.22,0.22,0.56,0.75,0.75,0.25,0.25,0.25,0.0,0.22,0.0,0.0,1.0,0.22,0.67,1.0,0.56,0.44,0.89,0.0
3310,0.56,0.78,1.0,0.89,0.89,0.0,0.67,0.44,0.56,0.22,0.11,0.33,0.22,0.22,0.44,0.75,0.5,0.5,0.25,0.5,0.56,0.11,0.0,0.0,0.78,0.11,0.44,0.78,0.0,0.78,0.11,0.0
3311,0.22,0.67,0.11,0.78,0.78,0.89,0.89,1.0,0.67,0.78,0.67,0.22,0.22,0.22,0.56,0.5,0.5,0.5,0.5,0.5,0.11,0.0,0.11,0.0,1.0,0.44,1.0,1.0,1.0,0.44,0.44,0.0
3312,0.44,0.11,0.0,0.44,0.56,1.0,1.0,1.0,1.0,0.67,0.0,0.33,0.22,0.22,0.56,1.0,0.25,0.25,0.5,0.5,0.44,0.0,0.0,0.0,1.0,0.44,1.0,1.0,0.33,0.0,1.0,0.0
3313,0.78,0.44,0.0,0.11,0.44,0.0,1.0,1.0,0.0,0.33,0.11,0.0,0.0,0.0,1.0,0.0,1.0,0.75,0.0,0.75,0.0,1.0,0.0,0.0,1.0,1.0,0.44,1.0,1.0,0.44,1.0,0.0
3314,0.78,1.0,0.67,0.44,1.0,0.78,0.78,0.56,0.56,0.67,0.0,0.56,0.56,0.56,0.22,0.75,1.0,0.25,0.25,0.25,0.0,0.44,0.0,0.0,0.44,1.0,0.67,0.22,0.78,0.44,0.0,0.44
3315,1.0,0.0,0.89,0.0,0.0,1.0,1.0,0.0,0.0,0.89,0.78,1.0,1.0,1.0,1.0,0.75,0.25,1.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.44,0.78,0.0,0.44,0.67
3316,0.56,0.78,0.33,0.44,0.22,0.78,0.56,0.56,0.56,0.56,0.44,0.33,0.78,0.89,0.56,0.0,0.0,0.75,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0
3317,0.78,1.0,1.0,1.0,0.0,0.0,0.56,0.33,0.33,0.67,1.0,0.22,0.0,0.0,0.44,1.0,0.25,0.75,1.0,0.75,0.44,0.0,0.22,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3318,0.78,0.78,0.0,0.33,0.67,0.78,0.78,0.44,0.67,0.78,0.67,0.33,0.56,0.67,0.67,0.75,1.0,0.75,0.0,0.75,0.11,0.0,0.11,0.0,1.0,0.33,0.89,1.0,1.0,0.11,0.22,0.0
3319,0.56,1.0,0.89,0.56,1.0,0.89,0.56,0.22,0.11,0.78,0.67,0.67,0.44,0.78,0.22,0.75,0.25,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.44,0.11,1.0,0.89,0.67,0.11,0.56
